Trait,CHR,pStart,pEnd,Gene,pval_skat
blood_monocyte,14,104027557,104028270,BAG5,1.86307511256071e-18
blood_monocyte,15,41962080,42045660,MGA,1.47129551843438e-08
blood_monocyte,15,64410816,64428860,SNX1,3.3150578713021106e-15
blood_monocyte,15,64466574,64580583,CSNK1G1,4.29628932904719e-28
blood_monocyte,15,64714519,64746280,TRIP4,2.53670584709157e-18
blood_monocyte,16,85650666,85704584,KIAA0182,2.93334325549973e-12
blood_monocyte,16,85940010,85948098,IRF8,6.22988350750596e-70
blood_monocyte,17,38121993,38131187,GSDMA,1.31161836947058e-08
blood_monocyte,17,56348106,56356502,MPO,2.40236678107671e-34
blood_monocyte,17,56383744,56405046,BZRAP1,1.89906062256645e-09
blood_monocyte,17,56620167,56621286,C17orf47,1.25285881353515e-10
blood_monocyte,17,57082122,57181441,TRIM37,3.96569263695128e-21
blood_monocyte,17,57698208,57752869,CLTC,1.48021010034827e-08
blood_monocyte,17,57839539,57916165,VMP1,7.98613302819168e-09
blood_monocyte,17,57940703,57965731,TUBD1,4.18080763102617e-23
blood_monocyte,17,57973920,58022484,RPS6KB1,4.7189420369977096e-12
blood_monocyte,17,80710097,80899281,TBCD,6.09056503804269e-13
blood_monocyte,17,80904844,81009636,B3GNTL1,1.4374072641252e-13
blood_monocyte,18,60804334,60978979,BCL2,2.10685549750571e-34
blood_monocyte,19,18428632,18433714,LSM4,2.73610898166012e-10
blood_monocyte,19,18796655,18881023,CRTC1,2.26496785343172e-08
blood_monocyte,19,44272354,44281898,KCNN4,1.08983377344966e-10
blood_monocyte,19,44418077,44423981,ZNF45,5.3931296753938e-19
blood_monocyte,19,45351516,45390333,PVRL2,4.615832000420021e-09
blood_monocyte,19,45756763,45799910,MARK4,3.4290386876346004e-16
blood_monocyte,2,111534586,111875388,ACOXL,3.84635562728249e-27
blood_monocyte,2,182325493,182395345,ITGA4,7.2289267353714195e-56
blood_monocyte,2,182408184,182519785,CERKL,9.46219951203659e-22
blood_monocyte,2,182756900,182789383,SSFA2,1.40168178326671e-10
blood_monocyte,2,225633209,225898467,DOCK10,1.78105510453709e-09
blood_monocyte,22,17622618,17643689,CECR5,6.81969716254116e-08
blood_monocyte,3,42753966,42799765,CCDC13,1.5405054661766e-52
blood_monocyte,3,43021383,43096875,FAM198A,6.08729839342798e-13
blood_monocyte,3,43409582,43627297,ANO10,5.36618548111779e-12
blood_monocyte,3,45969795,46003735,FYCO1,5.04858224115168e-08
blood_monocyte,3,127872506,128122580,EEFSEC,1.81136673997656e-09
blood_monocyte,3,128344786,128356279,RPN1,1.34555598348852e-62
blood_monocyte,3,128690948,128710019,KIAA1257,7.30100477418264e-12
blood_monocyte,3,129381533,129546664,TMCC1,1.3876649376544498e-11
blood_monocyte,4,6925237,7023479,TBC1D14,8.97725408127481e-12
blood_monocyte,5,131819800,131824486,IRF1,6.5833418716465506e-09
blood_monocyte,5,149384610,149431223,HMGXB3,7.36611332386406e-10
blood_monocyte,5,149498151,149514958,PDGFRB,9.484106175795572e-17
blood_monocyte,6,26501897,26509382,BTN1A1,3.4678568116105e-14
blood_monocyte,6,30953105,30955929,MUC21,1.3265386258942498e-11
blood_monocyte,6,31110391,31125257,CCHCR1,1.67453406418476e-09
blood_monocyte,6,31469468,31477681,MICB,1.47878529907729e-13
blood_monocyte,6,31496915,31497706,MCCD1,1.12771176303767e-11
blood_monocyte,6,31498497,31507834,DDX39B,3.7051905180965497e-13
blood_monocyte,6,31513402,31514247,ATP6V1G2,1.80380529859867e-89
blood_monocyte,6,31591808,31605199,PRRC2A,3.83354487747337e-23
blood_monocyte,6,31674944,31678073,LY6G6F,4.3281938375797e-16
blood_monocyte,6,31708910,31728267,MSH5,8.325791923977921e-31
blood_monocyte,6,31731881,31732207,C6orf26,4.657922968333661e-25
blood_monocyte,6,31736065,31741659,C6orf27,7.19534612973853e-14
blood_monocyte,6,31834197,31844684,SLC44A4,2.18058658657279e-12
blood_monocyte,6,31868765,31912523,ZBTB12,5.24279889773162e-18
blood_monocyte,6,31915144,31918903,CFB,3.30037203309938e-12
blood_monocyte,6,31928148,31937037,SKIV2L,2.50504373859863e-17
blood_monocyte,6,32085278,32093922,ATF6B,4.84860145366639e-08
blood_monocyte,6,32121659,32130329,PPT2,3.67138483119452e-15
blood_monocyte,6,32163274,32191457,NOTCH4,1.41189852006698e-18
blood_monocyte,6,32261507,32339076,C6orf10,2.57050262590711e-19
blood_monocyte,6,32605326,32609813,HLA-DQA1,1.59446383925868e-11
blood_monocyte,6,41892291,41900406,BYSL,4.46806545115248e-12
blood_monocyte,7,50531713,50610918,DDC,1.11454814793979e-18
blood_monocyte,7,50660787,50796106,GRB10,1.78819417564597e-08
blood_monocyte,8,42997744,43053062,HGSNAT,9.7127557314527e-10
blood_monocyte,8,48174091,48647273,KIAA0146,2.6411350633886297e-13
blood_monocyte,9,33818501,33903966,UBE2R2,7.6051877038493e-09
blood_monocyte,9,91641870,91775958,SHC3,3.0950085065894403e-09
blood_monocyte,9,113645842,113707469,LPAR1,2.72742378788525e-24
blood_monocyte,9,114128759,114216674,KIAA0368,1.14892317053783e-58
blood_monocyte,9,114290716,114359624,ZNF483,5.53127221587606e-33
blood_monocyte,9,114453006,114539861,C9orf84,3.20060336324429e-23
blood_mpv,1,10106684,10237187,UBE4B,2.0586085977282e-12
blood_mpv,1,10308958,10429705,KIF1B,3.4354727641755603e-19
blood_mpv,1,11850750,11863057,MTHFR,1.18554415173833e-08
blood_mpv,1,25877492,25892880,LDLRAP1,4.08782743818687e-30
blood_mpv,1,45795084,45808863,MUTYH,5.9333063890373e-11
blood_mpv,1,111730901,111742841,DENND2D,1.4170998769368e-11
blood_mpv,1,156875482,156883546,PEAR1,1.0382017289317201e-52
blood_mpv,1,156890672,156902222,LRRC71,7.719135028350509e-11
blood_mpv,1,156907115,157011560,ARHGEF11,4.54517095052888e-18
blood_mpv,1,171486912,171557600,PRRC2C,2.79078193321923e-23
blood_mpv,1,171605539,171620782,MYOC,1.1382351147802802e-09
blood_mpv,1,171687336,171704957,VAMP4,6.01491544330759e-35
blood_mpv,1,171813874,172355841,DNM3,1.93740907057989e-34
blood_mpv,1,172505731,172577441,C1orf9,7.485213376233952e-14
blood_mpv,1,198613504,198714895,PTPRC,5.16594435822816e-09
blood_mpv,1,204497913,204517487,MDM4,2.96777962205397e-08
blood_mpv,1,204587047,204589101,LRRN2,7.1620582797749e-08
blood_mpv,1,204914693,204978533,NFASC,8.67018166319647e-09
blood_mpv,1,205035727,205037676,CNTN2,2.15615901754412e-13
blood_mpv,1,205130413,205180474,DSTYK,5.278922252128809e-26
blood_mpv,1,205199591,205227627,TMCC2,3.35217344415231e-56
blood_mpv,1,205273100,205287324,NUAK2,4.91641582739316e-11
blood_mpv,1,247712613,247736230,C1orf150,9.10287454275613e-71
blood_mpv,1,248021765,248039713,TRIM58,3.55482695663436e-128
blood_mpv,10,11799332,11804525,ECHDC3,6.38358789093324e-19
blood_mpv,10,63958638,63985100,RTKN2,1.25389080160535e-08
blood_mpv,10,64154935,64408208,ZNF365,3.9823839348803e-18
blood_mpv,10,64927823,65220711,JMJD1C,3.2528709319456595e-135
blood_mpv,10,65315397,65378695,REEP3,8.79006770656673e-27
blood_mpv,10,101544088,101611294,ABCC2,1.10951334166851e-12
blood_mpv,10,101636917,101729881,DNMBP,1.08053336861331e-10
blood_mpv,10,114137667,114186224,ACSL5,1.08419856897313e-09
blood_mpv,11,5619338,5664684,TRIM6,5.78295811869047e-13
blood_mpv,11,5718256,5730343,TRIM22,2.0769320105713299e-13
blood_mpv,11,10601396,10715124,MRVI1,4.60506009895491e-10
blood_mpv,11,48011369,48180921,PTPRJ,3.77402615825417e-08
blood_mpv,11,58315733,58339285,LPXN,2.04866221498067e-10
blood_mpv,11,61599991,61627811,FADS2,1.25115689317835e-08
blood_mpv,11,65384129,65404018,PCNXL3,3.65570010929517e-08
blood_mpv,11,113937206,114120774,ZBTB16,1.44231655023757e-45
blood_mpv,11,117076972,117100029,PCSK7,6.10683003609745e-14
blood_mpv,12,6059719,6225931,VWF,4.49738870559008e-31
blood_mpv,12,6320386,6345199,CD9,2.1549940116559495e-26
blood_mpv,12,29430291,29484589,FAR2,4.46556036036046e-16
blood_mpv,12,32268739,32521775,BICD1,3.22277520552335e-09
blood_mpv,12,49308284,49314994,CCDC65,1.2891229130671902e-09
blood_mpv,12,51687991,51715714,BIN2,1.69079338069221e-11
blood_mpv,12,51723499,51740350,CELA1,1.71130065060637e-26
blood_mpv,12,54796593,54811708,ITGA5,5.9155589979840615e-09
blood_mpv,12,54892220,54934521,NCKAP1L,1.0420079014843798e-30
blood_mpv,12,54946483,54967739,PDE1B,2.5798266240298603e-10
blood_mpv,12,56351346,56359642,PMEL,4.60688015513355e-08
blood_mpv,12,56865338,56881614,GLS2,2.06215289119962e-09
blood_mpv,12,56920939,56982290,RBMS2,2.35900851075499e-08
blood_mpv,12,56995856,57023284,BAZ2A,1.10331737364781e-21
blood_mpv,12,57063906,57078296,PTGES3,4.26183067197217e-14
blood_mpv,12,57422934,57437119,MYO1A,1.87129109095532e-10
blood_mpv,12,57525756,57595984,LRP1,1.29364794011512e-10
blood_mpv,12,64239261,64521724,SRGAP1,4.81486019943134e-08
blood_mpv,12,64607264,64612871,C12orf66,1.1723954038843898e-11
blood_mpv,12,65010323,65088155,RASSF3,2.34715601082083e-68
blood_mpv,12,65219960,65269030,TBC1D30,2.89227357209971e-18
blood_mpv,12,109057112,109093588,CORO1C,2.01464655027182e-11
blood_mpv,12,120032805,120076735,TMEM233,3.62144619703908e-09
blood_mpv,12,121208238,121334133,SPPL3,1.21209607656189e-10
blood_mpv,12,121648586,121670276,P2RX4,1.06745350374532e-12
blood_mpv,12,121680460,121710981,CAMKK2,1.78476276036748e-31
blood_mpv,12,121871006,122014770,KDM2B,2.7213943604451893e-40
blood_mpv,12,122158662,122204953,TMEM120B,1.11620249239881e-19
blood_mpv,12,122217507,122226872,RHOF,1.2872261764001499e-28
blood_mpv,12,122247114,122266840,SETD1B,0.0
blood_mpv,12,122361711,122404946,WDR66,2.17747271656802e-89
blood_mpv,12,122462356,122494845,BCL7A,9.94324954598286e-58
blood_mpv,12,122717710,122748099,VPS33A,1.79624738999926e-15
blood_mpv,12,122760524,122864920,CLIP1,5.62055263142407e-23
blood_mpv,12,123023566,123110585,KNTC1,8.344218736622161e-09
blood_mpv,12,123262476,123304922,CCDC62,8.141962029914859e-11
blood_mpv,12,123322415,123345509,HIP1R,2.59527390105928e-50
blood_mpv,12,123651738,123705962,MPHOSPH9,5.224082340938681e-10
blood_mpv,12,123748216,123753294,CDK2AP1,3.1686441986154404e-14
blood_mpv,12,123787811,123828792,SBNO1,3.5553640739935797e-16
blood_mpv,12,123902892,123919969,RILPL2,2.91549864557268e-31
blood_mpv,12,124156487,124186348,TCTN2,1.49694901355971e-29
blood_mpv,12,124198360,124242557,ATP6V0A2,2.67102340275807e-21
blood_mpv,12,124250882,124419062,DNAH10,2.79380136040139e-25
blood_mpv,13,33226425,33339178,PDS5B,6.41231911543336e-09
blood_mpv,13,47127813,47324173,LRCH1,2.87356659637217e-12
blood_mpv,13,113980587,114017189,GRTP1,4.43151524119245e-10
blood_mpv,14,55409823,55493408,WDHD1,6.852743044494949e-18
blood_mpv,14,55615580,55648263,DLGAP5,8.06925788177336e-23
blood_mpv,14,55817708,55818706,FBXO34,5.88011841600657e-69
blood_mpv,14,55837043,55874669,ATG14,1.3851685984865e-55
blood_mpv,14,65383689,65555251,CHURC1,7.73162949219142e-08
blood_mpv,14,69539440,69613765,DCAF5,2.3771120469478e-17
blood_mpv,14,69676591,69704434,EXD2,4.657000662605e-62
blood_mpv,14,103400350,103518149,CDC42BPB,1.2254745066006e-19
blood_mpv,15,57212834,57573483,TCF12,8.15457043448798e-16
blood_mpv,15,64410816,64428860,SNX1,1.31414470416757e-08
blood_mpv,15,91449015,91461545,MAN2A2,8.30948790348165e-10
blood_mpv,15,91511749,91533068,PRC1,6.32750432023849e-10
blood_mpv,16,88945936,89038880,CBFA2T3,4.41872192169512e-08
blood_mpv,16,89167138,89219366,ACSF3,4.06594234721413e-10
blood_mpv,16,89337526,89382880,ANKRD11,2.47724937560933e-10
blood_mpv,17,1538669,1547925,SCARF1,1.6715237143929002e-10
blood_mpv,17,4875628,4888017,CAMTA2,7.23028492556379e-10
blood_mpv,17,4908721,4918458,KIF1C,1.8873353665391095e-11
blood_mpv,17,26909042,26911204,SPAG5,8.03225613178572e-14
blood_mpv,17,27032367,27035482,PROCA1,1.53707153671689e-08
blood_mpv,17,27208326,27222988,FLOT2,5.35779789478922e-09
blood_mpv,17,27421490,27478325,MYO18A,5.3571237132466505e-67
blood_mpv,17,27794730,27857698,TAOK1,3.00871209751093e-51
blood_mpv,17,27957939,28229418,SSH2,8.352128551451959e-55
blood_mpv,17,28296327,28431640,EFCAB5,3.19471081306922e-26
blood_mpv,17,28492033,28512405,NSRP1,2.28283456109456e-29
blood_mpv,17,28526585,28548810,SLC6A4,1.1099688341617901e-15
blood_mpv,17,28720171,28782880,CPD,5.76528222442204e-11
blood_mpv,17,33875688,33884804,SLFN14,5.02922522336855e-44
blood_mpv,17,33921338,34046034,AP2B1,1.3888604868828e-19
blood_mpv,17,42432774,42439469,FAM171A2,1.1720087412326e-14
blood_mpv,17,42475557,42573761,GPATCH8,8.91422500134572e-12
blood_mpv,17,43516738,43555253,PLEKHM1,8.59674412920743e-23
blood_mpv,17,45333743,45385012,ITGB3,5.84125638299048e-19
blood_mpv,17,45412629,45505768,C17orf57,3.0164804751943303e-15
blood_mpv,17,55337984,55752389,MSI2,1.12479671590045e-09
blood_mpv,18,20718352,20834307,CABLES1,1.03823053599903e-14
blood_mpv,18,60804334,60978979,BCL2,1.54822499908492e-20
blood_mpv,18,67080604,67507347,DOK6,2.02998009340097e-15
blood_mpv,18,67531642,67605124,CD226,8.17519423458338e-49
blood_mpv,18,67687860,67865478,RTTN,8.98503546290375e-32
blood_mpv,18,77161063,77287075,NFATC1,5.803957330700382e-19
blood_mpv,19,1043638,1065018,ABCA7,2.30298615733204e-08
blood_mpv,19,6775871,6850767,VAV1,6.788430198381951e-23
blood_mpv,19,16183411,16197377,TPM4,4.19276792738252e-14
blood_mpv,19,17160720,17180033,HAUS8,3.1697294100532e-09
blood_mpv,19,39147510,39210593,ACTN4,8.7245755075982e-10
blood_mpv,19,39223402,39229089,CAPN12,6.58053075871466e-14
blood_mpv,19,45121297,45134110,IGSF23,8.389309690991851e-15
blood_mpv,19,45351516,45390333,PVRL2,2.5238607598142898e-18
blood_mpv,19,55525818,55549383,GP6,6.34889383659422e-17
blood_mpv,19,55559034,55573633,RDH13,7.20075133852845e-09
blood_mpv,2,23790221,23926659,KLHL29,7.73980718404843e-08
blood_mpv,2,24242812,24244603,MFSD2B,3.5121534927384e-09
blood_mpv,2,24290671,24298486,SF3B14,4.8244352734983e-08
blood_mpv,2,31459037,31488965,EHD3,6.9607607518361e-17
blood_mpv,2,37077037,37189624,STRN,3.98717626651805e-10
blood_mpv,2,106477304,106500881,NCK2,4.5016651307038205e-09
blood_mpv,2,120799566,120898324,EPB41L5,1.29366285478582e-09
blood_mpv,2,121036333,121048712,RALB,3.52352714823544e-10
blood_mpv,2,241379144,241403232,GPC1,7.464485997714119e-77
blood_mpv,2,241420626,241491659,ANKMY1,1.5547574875419598e-56
blood_mpv,20,1516906,1532595,SIRPD,4.74228534219634e-08
blood_mpv,20,43605040,43687459,STK4,9.336912524971591e-09
blood_mpv,20,44464356,44484979,SNX21,3.69978112020603e-12
blood_mpv,20,44488679,44506418,ZSWIM3,6.14992310326677e-10
blood_mpv,20,57558010,57564695,TH1L,3.2574556771310298e-12
blood_mpv,20,57594684,57599402,TUBB1,9.16165041412792e-142
blood_mpv,20,57768655,57825431,ZNF831,1.66166201302851e-17
blood_mpv,20,57876800,57898665,EDN3,1.27850945588965e-08
blood_mpv,22,43195109,43244928,ARFGAP3,3.91898379780296e-13
blood_mpv,22,43447238,43466659,TTLL1,8.08695720545044e-13
blood_mpv,22,50181915,50214021,BRD1,4.0813171974879506e-09
blood_mpv,3,47895705,48040283,MAP4,9.97198034045073e-10
blood_mpv,3,55720760,56467691,ERC2,4.65939119159215e-45
blood_mpv,3,56595153,56653427,CCDC66,4.40192041828459e-74
blood_mpv,3,56667213,56708788,C3orf63,3.70312239906638e-71
blood_mpv,3,56764853,57067209,ARHGEF3,7.531081275e-315
blood_mpv,3,57132035,57196384,IL17RD,1.03589098858926e-10
blood_mpv,3,57768616,57882601,SLMAP,6.11502636305161e-08
blood_mpv,3,123251872,123296058,PTPLB,3.08330533549279e-13
blood_mpv,3,123821359,124222935,KALRN,7.73143599138373e-17
blood_mpv,3,124306060,124423729,KALRN,1.81438788385522e-125
blood_mpv,4,3137674,3235589,HTT,6.44533956509358e-11
blood_mpv,4,6826756,6876458,KIAA0232,5.41720236279243e-10
blood_mpv,4,52920623,52943061,SPATA18,8.82566249828538e-12
blood_mpv,4,102713097,102975423,BANK1,8.81770486658093e-25
blood_mpv,4,123101170,123277192,KIAA1109,2.38101118615588e-14
blood_mpv,5,60241142,60417118,NDUFAF2,7.98340088138309e-15
blood_mpv,5,65892594,66462325,MAST4,4.90044624879005e-08
blood_mpv,5,75700993,75997063,IQGAP2,0.0
blood_mpv,5,76115172,76117836,F2RL1,3.41730031895482e-187
blood_mpv,5,76521014,76721089,PDE8B,1.6929362507260296e-28
blood_mpv,5,76732249,76757089,WDR41,1.12178969442807e-14
blood_mpv,5,88027278,88112542,MEF2C,3.29722611891931e-09
blood_mpv,5,131004513,131116899,FNIP1,4.98130845143449e-08
blood_mpv,5,131819800,131824486,IRF1,2.09381196692557e-10
blood_mpv,5,133551516,133554676,PPP2CA,3.82728725884523e-11
blood_mpv,5,140710461,140886471,PCDHGA1,1.61383773923876e-15
blood_mpv,5,140903792,140997959,DIAPH1,1.40861029521454e-14
blood_mpv,5,141021294,141030415,FCHSD1,1.69267312003289e-12
blood_mpv,5,158127025,158517233,EBF1,5.323722987444701e-16
blood_mpv,5,158587518,158633643,RNF145,1.22530696536688e-12
blood_mpv,5,159445881,159489455,TTC1,7.11240473822578e-16
blood_mpv,6,25293399,25619463,LRRC16A,1.00764057480397e-14
blood_mpv,6,25655059,25684405,SCGN,7.59492714865175e-10
blood_mpv,6,28117105,28121278,ZNF192,2.98749803614229e-10
blood_mpv,6,28965639,28969148,ZNF311,6.5239239196533305e-21
blood_mpv,6,29571609,29600104,GABBR1,1.01892998457121e-10
blood_mpv,6,29640951,29644502,ZFP57,5.552124519491761e-09
blood_mpv,6,30105154,30115542,TRIM40,1.96489344128578e-41
blood_mpv,6,30540890,30553871,ABCF1,6.55039057008964e-12
blood_mpv,6,30622459,30635760,DHX16,1.40446732950275e-25
blood_mpv,6,30878523,30881103,GTF2H4,3.15035662467412e-39
blood_mpv,6,30953105,30955929,MUC21,6.9043516683965e-10
blood_mpv,6,31098832,31107648,PSORS1C1,2.02868485462152e-41
blood_mpv,6,31110391,31125257,CCHCR1,1.47459388037668e-14
blood_mpv,6,31237257,31238716,HLA-C,1.11345884667934e-26
blood_mpv,6,31322367,31324552,HLA-B,6.91034056643502e-08
blood_mpv,6,31373985,31379059,MICA,3.96823722705319e-11
blood_mpv,6,31469468,31477681,MICB,2.36209101609189e-21
blood_mpv,6,31496915,31497706,MCCD1,2.3292679426834e-09
blood_mpv,6,31513402,31514247,ATP6V1G2,1.44506725801337e-28
blood_mpv,6,31583224,31583931,AIF1,4.45514580304473e-17
blood_mpv,6,31591808,31605199,PRRC2A,9.486571990992032e-24
blood_mpv,6,31607111,31618761,BAG6,7.30536312426366e-68
blood_mpv,6,31655438,31669496,ABHD16A,3.76540869667662e-29
blood_mpv,6,31674944,31678073,LY6G6F,2.84461249997604e-50
blood_mpv,6,31708910,31728267,MSH5,7.42579563265897e-55
blood_mpv,6,31731881,31732207,C6orf26,3.88172537495205e-10
blood_mpv,6,31736065,31741659,C6orf27,1.71995912013594e-69
blood_mpv,6,31767667,31773975,LSM2,5.84591456635254e-33
blood_mpv,6,31834197,31844684,SLC44A4,8.94157914377303e-08
blood_mpv,6,31850332,31864674,EHMT2,1.87082136373454e-55
blood_mpv,6,31868765,31912523,ZBTB12,1.56779167389008e-100
blood_mpv,6,31915144,31918903,CFB,2.35744256784401e-21
blood_mpv,6,31928148,31937037,SKIV2L,2.26168436148427e-41
blood_mpv,6,31937762,31939345,DOM3Z,2.16372816907384e-39
blood_mpv,6,32085278,32093922,ATF6B,2.41178342949786e-66
blood_mpv,6,32121659,32130329,PPT2,3.89615967103597e-55
blood_mpv,6,32134510,32135137,EGFL8,1.65331229652076e-10
blood_mpv,6,32146492,32148031,RNF5,1.54916113315321e-10
blood_mpv,6,32149883,32151934,AGER,1.40110485314457e-43
blood_mpv,6,32154285,32157364,PBX2,1.28518819025626e-09
blood_mpv,6,32163274,32191457,NOTCH4,3.62581756919657e-43
blood_mpv,6,32261507,32339076,C6orf10,9.00662006975617e-21
blood_mpv,6,32407906,32411362,HLA-DRA,1.98396753144583e-19
blood_mpv,6,32709964,32714143,HLA-DQA2,7.49893439421239e-49
blood_mpv,6,32781112,32783896,HLA-DOB,5.41386858304646e-40
blood_mpv,6,32792973,32805470,TAP2,4.1400126993274e-08
blood_mpv,6,32822186,32826450,PSMB9,9.31926917958685e-22
blood_mpv,6,33045558,33053942,HLA-DPB1,1.9762217114510903e-09
blood_mpv,6,33133040,33158189,COL11A2,8.08517274242249e-08
blood_mpv,6,47450542,47578144,CD2AP,1.84841201756558e-13
blood_mpv,6,52290988,52357071,EFHC1,1.50827790667651e-08
blood_mpv,6,110746262,110794632,SLC22A16,1.45322376938251e-10
blood_mpv,7,80286344,80301500,CD36,7.256558228055509e-12
blood_mpv,7,106509331,106535188,PIK3CG,8.075525056106919e-12
blood_mpv,7,157334598,158367790,PTPRN2,5.45981467814372e-08
blood_mpv,7,158431718,158486018,NCAPG2,4.2400079225402e-08
blood_mpv,7,158527646,158616886,ESYT2,2.19695015307468e-24
blood_mpv,8,131075859,131411249,ASAP1,1.62545714271354e-22
blood_mpv,9,214864,457305,C9orf66,3.34604562639235e-49
blood_mpv,9,95746460,95796063,FGD3,6.95752615520462e-08
blood_mpv,9,113131163,113341054,SVEP1,1.61328070905013e-11
blood_mpv,9,135285802,135443458,C9orf171,1.3734020293405102e-09
blood_mpv,9,135974079,136022263,RALGDS,3.48036201398137e-17
blood_mscv,1,114958827,115052507,TRIM33,6.55577097327764e-08
blood_mscv,1,157975608,158064439,KIRREL,1.5478955642030602e-17
blood_mscv,1,158299756,158300604,CD1B,1.2664655446663e-20
blood_mscv,1,158368392,158369064,OR10T2,5.152896793166351e-15
blood_mscv,1,158450238,158450382,OR10R2,1.98525691131868e-48
blood_mscv,1,158549421,158549511,OR10X1,2.8194140125557697e-30
blood_mscv,1,158576973,158577167,OR10Z1,7.91090915307576e-12
blood_mscv,1,158584091,158653509,SPTA1,9.28769718536516e-218
blood_mscv,1,198613504,198714895,PTPRC,1.01327364499856e-11
blood_mscv,10,71054102,71160699,HK1,5.079324714793901e-11
blood_mscv,11,9803394,10268593,SBF2,3.74487552079472e-08
blood_mscv,11,64112050,64117106,CCDC88B,1.23046442191098e-10
blood_mscv,11,116620377,116639335,BUD13,2.0833630483971104e-10
blood_mscv,12,53924293,53957586,ATF7,1.67097704258002e-13
blood_mscv,12,112182876,112189001,ACAD10,6.69002785805906e-16
blood_mscv,12,112869780,112935344,PTPN11,2.44489316935239e-39
blood_mscv,13,51484445,51508967,RNASEH2B,4.4494831596964e-08
blood_mscv,14,65202852,65209909,PLEKHG3,4.86964026880088e-08
blood_mscv,14,65222217,65289383,SPTB,1.5376314089218e-32
blood_mscv,14,65383689,65555251,CHURC1,6.06224094343765e-30
blood_mscv,15,65134221,65158047,PLEKHO2,6.28448117989677e-08
blood_mscv,16,11439679,11444572,RMI2,3.42202428758204e-10
blood_mscv,16,67378212,67418060,LRRC36,1.5140615300238998e-12
blood_mscv,16,87874140,87900874,SLC7A5,3.77812637983262e-11
blood_mscv,16,88520070,88601360,ZFPM1,1.954691306931e-10
blood_mscv,17,20003075,20217375,SPECC1,8.01750521209295e-13
blood_mscv,17,42287433,42292696,UBTF,1.33265923905945e-10
blood_mscv,17,42333071,42338998,SLC4A1,3.32862766071601e-11
blood_mscv,17,43474668,43482264,ARHGAP27,1.07215054197385e-14
blood_mscv,17,43516738,43555253,PLEKHM1,2.29227531126748e-37
blood_mscv,17,44044058,44089281,MAPT,1.27802321005424e-17
blood_mscv,17,76117401,76119293,TMC6,9.48291808010001e-10
blood_mscv,17,76127746,76134407,TMC8,7.03373608246238e-08
blood_mscv,18,43802953,43841430,C18orf25,2.52809121245309e-09
blood_mscv,18,60804334,60978979,BCL2,1.1119307100746901e-15
blood_mscv,19,4404535,4442999,CHAF1A,8.28827706467195e-08
blood_mscv,19,12965675,12982783,MAST1,3.0842940929417704e-23
blood_mscv,19,17212989,17318012,MYO9B,2.65048204164606e-10
blood_mscv,19,18428632,18433714,LSM4,9.116011934853673e-09
blood_mscv,19,45351516,45390333,PVRL2,3.59010429162865e-08
blood_mscv,19,45410002,45412079,APOE,3.78995465340349e-30
blood_mscv,2,23790221,23926659,KLHL29,9.003068957014191e-09
blood_mscv,2,24242812,24244603,MFSD2B,3.75358140821211e-16
blood_mscv,2,24290671,24298486,SF3B14,7.28309742874964e-16
blood_mscv,2,61416753,61695900,USP34,2.46235288566057e-09
blood_mscv,2,111534586,111875388,ACOXL,2.6357064360619e-11
blood_mscv,2,160596043,160611167,MARCH7,3.69256920595973e-08
blood_mscv,20,55750204,55840589,BMP7,6.07798535784264e-11
blood_mscv,20,55971050,55979572,RBM38,7.5388180253988e-08
blood_mscv,22,30886886,30901592,SEC14L4,1.43294741595013e-09
blood_mscv,22,32871365,32894025,FBXO7,6.32320620218184e-10
blood_mscv,22,50715888,50727782,PLXNB2,2.1203944339503e-14
blood_mscv,22,50848643,50882338,PPP6R2,1.82196983522364e-10
blood_mscv,22,50926768,50928026,MIOX,4.40691627973905e-23
blood_mscv,3,17051450,17125525,PLCL2,5.93893283440394e-08
blood_mscv,3,48616291,48628014,COL7A1,6.35905960111316e-08
blood_mscv,3,141887746,141938492,GK5,6.2290919086272e-10
blood_mscv,3,142078759,142164735,XRN1,1.37649444167481e-18
blood_mscv,3,142171595,142294634,ATR,3.4669042680799307e-15
blood_mscv,3,142443441,142513504,TRPC1,2.9650792050954104e-17
blood_mscv,3,142541083,142604476,PCOLCE2,4.18898666016693e-16
blood_mscv,4,55524252,55602451,KIT,1.96258740368461e-10
blood_mscv,4,145568352,145659064,HHIP,4.94086732839658e-10
blood_mscv,6,25762241,25779000,SLC17A4,1.54798009952694e-21
blood_mscv,6,25850845,25864898,SLC17A3,3.63357223087406e-12
blood_mscv,6,29141743,29142347,OR2J2,9.9219656999849e-12
blood_mscv,6,29364643,29364835,OR12D2,1.9355738149004003e-10
blood_mscv,6,29640951,29644502,ZFP57,5.65437948685243e-08
blood_mscv,6,30540890,30553871,ABCF1,1.09300535289236e-08
blood_mscv,6,31098832,31107648,PSORS1C1,1.34855075842827e-22
blood_mscv,6,31496915,31497706,MCCD1,2.13610691123422e-20
blood_mscv,6,31513402,31514247,ATP6V1G2,2.89762236254806e-26
blood_mscv,6,31591808,31605199,PRRC2A,3.5266265375781e-17
blood_mscv,6,31631334,31632134,GPANK1,3.08776392694347e-14
blood_mscv,6,31868765,31912523,ZBTB12,2.32144390377442e-08
blood_mscv,6,31920687,31925848,RDBP,3.9386129503368297e-13
blood_mscv,6,31928148,31937037,SKIV2L,1.05739181647683e-09
