Trait,CHR,pStart,pEnd,Gene,pval_fastKAST
blood_lymphocyte,6,26388405,26392629,BTN2A2,1e-14
blood_lymphocyte,6,26462356,26474742,BTN2A1,1e-14
blood_lymphocyte,6,26501897,26509382,BTN1A1,1e-14
blood_lymphocyte,6,27420048,27440004,ZNF184,1.3020918787631786e-09
blood_lymphocyte,6,27879200,27879982,OR2B2,1e-14
blood_lymphocyte,6,28094432,28097193,ZSCAN16,1e-14
blood_lymphocyte,6,28195521,28198755,ZNF193,1e-14
blood_lymphocyte,6,28213918,28217797,ZKSCAN4,1e-14
blood_lymphocyte,6,28254862,28268824,PGBD1,1e-14
blood_lymphocyte,6,28327371,28333396,ZKSCAN3,1e-14
blood_lymphocyte,6,28402260,28403603,ZSCAN23,1e-14
blood_lymphocyte,6,28543089,28546952,SCAND3,1e-14
blood_lymphocyte,6,29364643,29364835,OR12D2,1.1845440184288234e-09
blood_lymphocyte,6,29523797,29526940,UBD,1e-14
blood_lymphocyte,6,29625001,29635928,MOG,1e-14
blood_lymphocyte,6,29640951,29644502,ZFP57,1e-14
blood_lymphocyte,6,29691582,29693969,HLA-F,1e-14
blood_lymphocyte,6,29795636,29796327,HLA-G,1e-14
blood_lymphocyte,6,29910663,29912968,HLA-A,1e-14
blood_lymphocyte,6,30039418,30041559,RNF39,1e-14
blood_lymphocyte,6,30071330,30080274,TRIM31,1e-14
blood_lymphocyte,6,30105154,30115542,TRIM40,1e-14
blood_lymphocyte,6,30121605,30128222,TRIM10,1e-14
blood_lymphocyte,6,30131503,30139699,TRIM15,1e-14
blood_lymphocyte,6,30154049,30166266,TRIM26,1e-14
blood_lymphocyte,6,30599702,30601067,ATAT1,1e-14
blood_lymphocyte,6,30669430,30682007,MDC1,1.893374346195742e-12
blood_lymphocyte,6,30855907,30865279,DDR1,1e-14
blood_lymphocyte,6,30878523,30881103,GTF2H4,1e-14
blood_lymphocyte,6,30882277,30893941,VARS2,1e-14
blood_lymphocyte,6,30912481,30920086,DPCR1,1e-14
blood_lymphocyte,6,30953105,30955929,MUC21,4.085620730620576e-14
blood_lymphocyte,6,31079242,31080016,C6orf15,1e-14
blood_lymphocyte,6,31084048,31087908,CDSN,1e-14
blood_lymphocyte,6,31098832,31107648,PSORS1C1,1e-14
blood_lymphocyte,6,31110391,31125257,CCHCR1,1e-14
blood_lymphocyte,6,31132649,31138107,POU5F1,1e-14
blood_lymphocyte,6,31237257,31238716,HLA-C,1.99233518571873e-10
blood_lymphocyte,6,31469468,31477681,MICB,1e-14
blood_lymphocyte,6,31496915,31497706,MCCD1,1e-14
blood_lymphocyte,6,31498497,31507834,DDX39B,1e-14
blood_lymphocyte,6,31513402,31514247,ATP6V1G2,1e-14
blood_lymphocyte,6,31515799,31525448,NFKBIL1,1e-14
blood_lymphocyte,6,31540556,31540784,LTA,1e-14
blood_lymphocyte,6,31583224,31583931,AIF1,1e-14
blood_lymphocyte,6,31591808,31605199,PRRC2A,1e-14
blood_lymphocyte,6,31607111,31618761,BAG6,1e-14
blood_lymphocyte,6,31631334,31632134,GPANK1,1e-14
blood_lymphocyte,6,31674944,31678073,LY6G6F,1e-14
blood_lymphocyte,6,31708910,31728267,MSH5,1e-14
blood_lymphocyte,6,31731881,31732207,C6orf26,1e-14
blood_lymphocyte,6,31736065,31741659,C6orf27,1e-14
blood_lymphocyte,6,31767667,31773975,LSM2,5.9523434847719165e-08
blood_lymphocyte,6,31834197,31844684,SLC44A4,1e-14
blood_lymphocyte,6,31850332,31864674,EHMT2,1e-14
blood_lymphocyte,6,31868765,31912523,ZBTB12,1e-14
blood_lymphocyte,6,31915144,31918903,CFB,2.313332414516367e-09
blood_lymphocyte,6,31920687,31925848,RDBP,1e-14
blood_lymphocyte,6,31928148,31937037,SKIV2L,1e-14
blood_lymphocyte,6,31937762,31939345,DOM3Z,1e-14
blood_lymphocyte,6,32085278,32093922,ATF6B,1e-14
blood_lymphocyte,6,32121659,32130329,PPT2,1e-14
blood_lymphocyte,6,32134510,32135137,EGFL8,1e-14
blood_lymphocyte,6,32146492,32148031,RNF5,1e-14
blood_lymphocyte,6,32149883,32151934,AGER,1e-14
blood_lymphocyte,6,32163274,32191457,NOTCH4,1e-14
blood_lymphocyte,6,32261507,32339076,C6orf10,1e-14
blood_lymphocyte,6,32407906,32411362,HLA-DRA,1e-14
blood_lymphocyte,6,32605326,32609813,HLA-DQA1,1e-14
blood_lymphocyte,6,32628189,32633970,HLA-DQB1,1e-14
blood_lymphocyte,6,32709964,32714143,HLA-DQA2,1e-14
blood_lymphocyte,6,32724719,32730392,HLA-DQB2,1e-14
blood_lymphocyte,6,32781112,32783896,HLA-DOB,1e-14
blood_lymphocyte,6,32792973,32805470,TAP2,1e-14
blood_lymphocyte,6,32822186,32826450,PSMB9,8.160849773730661e-11
blood_lymphocyte,6,33389381,33416111,SYNGAP1,2.3060364728877403e-10
blood_lymphocyte,6,34559969,34657369,C6orf106,2.14128714759454e-12
blood_lymphocyte,6,35467891,35477032,TULP1,6.810838670823216e-09
blood_lymphocyte,6,35553345,35607571,FKBP5,1.2900791546144322e-13
blood_lymphocyte,6,53133964,53152485,ELOVL5,4.73028283209942e-11
blood_lymphocyte,6,108028709,108090799,SCML4,1e-14
blood_lymphocyte,6,122768149,122779099,SERINC1,1e-14
blood_lymphocyte,6,135296684,135371329,HBS1L,2.5424107263916085e-13
blood_lymphocyte,6,153020401,153043035,MYCT1,7.436981774855411e-08
blood_lymphocyte,7,939369,993173,ADAP1,5.391374013896666e-10
blood_lymphocyte,7,2774125,2882829,GNA12,9.127618882942556e-09
blood_lymphocyte,7,27875642,28210660,JAZF1,5.7737643555100255e-08
blood_lymphocyte,7,45003214,45016621,MYO1G,1e-14
blood_lymphocyte,7,45045368,45113170,CCM2,1e-14
blood_lymphocyte,7,45120248,45126178,NACAD,1e-14
blood_lymphocyte,7,56032902,56043949,GBAS,3.9909098248358527e-10
blood_lymphocyte,7,127015083,127030408,ZNF800,7.62184428904078e-08
blood_lymphocyte,7,138732457,138773301,ZC3HAV1,3.2384117609751684e-10
blood_lymphocyte,8,10623771,10696515,PINX1,2.7970556981671283e-08
blood_lymphocyte,8,41519248,41743589,ANK1,2.912502361507308e-08
blood_lymphocyte,8,59524884,59570619,NSMAF,9.002365342070108e-08
blood_lymphocyte,8,79580065,79629586,FAM164A,1e-14
blood_lymphocyte,8,79675262,79713106,IL7,1e-14
blood_lymphocyte,8,101177835,101244976,SPAG1,4.8579917866220506e-11
blood_lymphocyte,8,106340688,106810790,ZFPM2,4.1922462168386694e-08
blood_lymphocyte,8,142222445,142238339,SLC45A4,2.2315482794965646e-14
blood_lymphocyte,9,21970916,21986847,CDKN2A,1e-14
blood_lymphocyte,9,33924136,34017106,UBAP2,1.172965513607238e-08
blood_lymphocyte,9,35674053,35680337,CA9,8.05082001065216e-10
blood_lymphocyte,9,35698942,35712003,TLN1,4.947915555053584e-08
blood_lymphocyte,9,82195974,82338952,TLE4,4.098519124084987e-08
blood_lymphocyte,9,86366968,86411840,GKAP1,3.145770077761512e-08
blood_lymphocyte,9,99274954,99380119,CDC14B,3.97883637148766e-08
blood_lymphocyte,9,123404576,123476257,MEGF9,2.24527463288382e-09
blood_lymphocyte,9,123623772,123636411,PHF19,6.643609440359911e-09
blood_mch,1,2994717,3349775,PRDM16,6.082800929618769e-12
blood_mch,1,11850750,11863057,MTHFR,4.920064355928844e-12
blood_mch,1,11869230,11899033,CLCN6,5.850952944363996e-09
blood_mch,1,39549983,39949254,MACF1,1e-14
blood_mch,1,47718105,47752996,STIL,6.067619073846231e-09
blood_mch,1,66040934,66102257,LEPR,2.839638857388138e-09
blood_mch,1,114958827,115052507,TRIM33,2.014062250310644e-10
blood_mch,1,118507893,118726282,SPAG17,7.863709683419985e-13
blood_mch,1,150550924,150551327,MCL1,1.7271594821011152e-08
blood_mch,1,153973171,154102171,NUP210L,6.035038335738818e-08
blood_mch,1,154134557,154164139,TPM3,1.1594564641725924e-08
blood_mch,1,154382049,154423485,IL6R,1.1031553448503928e-10
blood_mch,1,158584091,158653509,SPTA1,1e-14
blood_mch,1,198613504,198714895,PTPRC,1e-14
blood_mch,1,205035727,205037676,CNTN2,1e-14
blood_mch,1,205130413,205180474,DSTYK,1e-14
blood_mch,1,205199591,205227627,TMCC2,1e-14
blood_mch,1,205273100,205287324,NUAK2,1.6080344500402077e-08
blood_mch,1,229772693,229794223,URB2,4.9364713539112877e-08
blood_mch,1,248021765,248039713,TRIM58,4.5923150615578834e-08
blood_mch,10,45875980,45938677,ALOX5,1e-14
blood_mch,10,45953767,46024729,MARCH8,1e-14
blood_mch,10,46111895,46157099,ANUBL1,1e-14
blood_mch,10,51568378,51586233,NCOA4,5.407230219134362e-12
blood_mch,10,71054102,71160699,HK1,1e-14
blood_mch,10,103115345,103298099,BTRC,2.986673353078117e-09
blood_mch,10,103894609,103907055,PPRC1,5.180178508368272e-10
blood_mch,10,104019489,104140350,GBF1,9.167523851161263e-09
blood_mch,10,104269217,104372022,SUFU,3.574918139293004e-14
blood_mch,10,104633524,104653717,AS3MT,1.7985612998927536e-14
blood_mch,10,104698571,104836853,CNNM2,1e-14
blood_mch,10,104850155,104934709,NT5C2,1.887379141862766e-14
blood_mch,10,105075994,105107438,PCGF6,3.22519788653608e-13
blood_mch,11,2325427,2337650,TSPAN32,1e-14
blood_mch,11,3877756,4108092,STIM1,8.182365895947896e-11
blood_mch,11,16001354,16419171,SOX6,1.1355361095866101e-12
blood_mch,11,19205207,19209050,CSRP3,1e-14
blood_mch,11,65032424,65064690,POLA2,3.8970577098673687e-08
blood_mch,11,65349756,65359535,EHBP1L1,3.750222354881316e-12
blood_mch,11,65366882,65380248,MAP3K11,1e-14
blood_mch,11,65384129,65404018,PCNXL3,1e-14
blood_mch,11,66899619,67020500,KDM2A,1e-14
blood_mch,11,67352256,67353579,GSTP1,1e-14
blood_mch,11,67400615,67406302,TBX10,1.429308671418994e-09
blood_mch,11,68083673,68213989,LRP5,4.699485400827541e-08
blood_mch,11,95571347,95657111,MTMR2,4.9170556515321096e-11
blood_mch,11,108032707,108092637,NPAT,3.408606730204156e-12
blood_mch,11,108098576,108226927,ATM,1.6431300764452317e-14
blood_mch,11,108254454,108306236,C11orf65,1e-14
blood_mch,11,108346177,108368145,KDELC2,7.37321315114059e-12
blood_mch,11,113937206,114120774,ZBTB16,1e-14
blood_mch,12,21295279,21391976,SLCO1B1,5.3034243663319096e-11
blood_mch,12,48134695,48151005,RAPGEF3,5.815836701117405e-11
blood_mch,12,48177906,48209165,HDAC7,1e-14
blood_mch,12,53924293,53957586,ATF7,7.003091440083152e-10
blood_mch,12,93804493,93824335,UBE2N,1.934837778883036e-08
blood_mch,12,120974510,121000846,RNF10,3.1220503959872303e-10
blood_mch,12,121079806,121090195,CABP1,1e-14
blood_mch,12,121208238,121334133,SPPL3,1e-14
blood_mch,12,121458400,121476423,OASL,4.5351611355215476e-11
blood_mch,12,133072330,133159733,FBRSL1,2.5446311724408593e-13
blood_mch,13,41636396,41645211,WBP4,1.0888956403221071e-11
blood_mch,13,75863116,76052790,TBC1D4,1.1324274851176597e-13
blood_mch,13,110414206,110436232,IRS2,9.335776596230971e-11
blood_mch,14,35230980,35336880,BAZ1A,2.519253028410162e-09
blood_mch,14,37717598,38013787,MIPOL1,3.41768613409954e-10
blood_mch,14,55310492,55365786,GCH1,5.997098473375928e-08
blood_mch,14,55409823,55493408,WDHD1,4.4860015702141704e-10
blood_mch,14,58787773,58831142,ARID4A,5.80646641878957e-14
blood_mch,14,65383689,65555251,CHURC1,1e-14
blood_mch,14,68315877,69059693,RAD51B,3.324007735727719e-12
blood_mch,14,74561761,74658029,LIN52,1.099887070310501e-09
blood_mch,14,102853260,102964408,TECPR2,1e-14
blood_mch,14,105681602,105766324,BRF1,8.5573959029972e-10
blood_mch,15,31624187,31663699,KLF13,6.923770790034922e-08
blood_mch,15,40226495,40325829,EIF2AK4,1e-14
blood_mch,15,64466574,64580583,CSNK1G1,2.306694524278896e-08
blood_mch,15,64714519,64746280,TRIP4,1.1811778555248509e-08
blood_mch,15,65134221,65158047,PLEKHO2,1.1099325902819146e-08
blood_mch,15,65739303,65804838,DPP8,1e-14
blood_mch,15,65917355,65945468,SLC24A1,1e-14
blood_mch,15,65962625,66040575,DENND4A,1e-14
blood_mch,15,66200975,66413890,MEGF11,1e-14
blood_mch,15,66996872,67071730,SMAD6,8.42045454474416e-08
blood_mch,15,78559937,78567384,DNAJA4,1.0723189003414292e-10
blood_mch,16,240338,276549,LUC7L,1e-14
blood_mch,16,334543,336916,PDIA2,2.992894820863512e-11
blood_mch,16,342437,393342,AXIN1,1e-14
blood_mch,16,417757,420179,MRPL28,1e-14
blood_mch,16,423696,430215,TMEM8A,1.7340620050987352e-09
blood_mch,16,477145,569558,RAB11FIP3,3.174938090211299e-11
blood_mch,16,716287,716631,WDR90,7.09574621282627e-10
blood_mch,16,840569,847743,CHTF18,1e-14
blood_mch,16,29922011,29936654,KCTD13,1e-14
blood_mch,16,29993108,29998200,TAOK2,1.4487833155385488e-10
blood_mch,16,31418869,31436932,ITGAD,2.0842606529569707e-08
blood_mch,16,31513086,31514980,C16orf58,1.0880366607679548e-09
blood_mch,16,50103734,50137191,HEATR3,1e-14
blood_mch,16,67378212,67418060,LRRC36,8.726908085066043e-12
blood_mch,16,67658146,67666095,CTCF,1e-14
blood_mch,16,68120057,68256622,NFATC3,8.362227577052295e-10
blood_mch,16,68316015,68326200,SLC7A6,1.0070921874216764e-10
blood_mch,16,68689419,68731806,CDH3,5.979661210631093e-13
blood_mch,16,68787224,68863752,CDH1,9.614531393253857e-14
blood_mch,16,87874140,87900874,SLC7A5,1e-14
blood_mch,16,88520070,88601360,ZFPM1,1e-14
blood_mch,16,89167138,89219366,ACSF3,2.285250877420708e-09
blood_mch,16,89337526,89382880,ANKRD11,1.5188938995436274e-10
blood_mch,16,89777123,89785888,C16orf7,2.824407374646398e-13
blood_mch,16,89805914,89880844,FANCA,6.188007994900602e-09
blood_mch,16,89898764,89932046,SPIRE2,6.822320486321587e-12
blood_mch,17,18130144,18139896,LLGL1,6.465727087068275e-08
blood_mch,17,19812541,19862147,AKAP10,1e-14
blood_mch,17,20003075,20217375,SPECC1,1e-14
blood_mch,17,27032367,27035482,PROCA1,1e-14
blood_mch,17,34859111,34884029,MYO19,5.502506672527829e-09
blood_mch,17,37438037,37554241,FBXL20,6.483313885752294e-11
blood_mch,17,42160711,42193897,HDAC5,2.01760799178885e-08
blood_mch,17,42333071,42338998,SLC4A1,5.149214388211476e-13
blood_mch,17,43474668,43482264,ARHGAP27,5.024001648035181e-08
blood_mch,17,43516738,43555253,PLEKHM1,4.352322247047624e-08
blood_mch,17,44044058,44089281,MAPT,3.988231966900457e-11
blood_mch,17,44116843,44248848,KIAA1267,1e-14
blood_mch,17,45885756,45892879,OSBPL7,5.49024403717624e-08
blood_mch,17,56432743,56492800,RNF43,7.648252586811567e-08
blood_mch,17,59761706,59936719,BRIP1,2.0806023570685284e-11
blood_mch,17,67081278,67125337,ABCA6,2.7202240460155732e-11
blood_mch,17,71212200,71223967,FAM104A,2.3259679959863888e-08
blood_mch,17,76117401,76119293,TMC6,1e-14
blood_mch,17,80486673,80559272,FOXK2,3.783117197286856e-08
blood_mch,18,43569532,43628043,PSTPIP2,1e-14
blood_mch,18,43802953,43841430,C18orf25,1e-14
blood_mch,18,60804334,60978979,BCL2,1e-14
blood_mch,19,4013322,4028290,PIAS4,1e-14
blood_mch,19,4094066,4119012,MAP2K2,1e-14
blood_mch,19,4308098,4320569,FSD1,5.93962656836311e-11
blood_mch,19,4346348,4359191,MPND,1e-14
blood_mch,19,4361656,4399767,SH3GL1,1e-14
blood_mch,19,4404535,4442999,CHAF1A,1e-14
blood_mch,19,4481854,4501117,HDGFRP2,1e-14
blood_mch,19,4505082,4513559,PLIN4,1e-14
blood_mch,19,4524866,4530617,PLIN5,2.9483329777590942e-08
blood_mch,19,4545717,4553185,SEMA6B,3.158157735327904e-09
blood_mch,19,5692192,5718054,LONP1,4.3927602444426845e-08
blood_mch,19,10686123,10694720,AP1M2,6.961169640717912e-09
blood_mch,19,12641119,12655092,ZNF564,3.6589353769045374e-10
blood_mch,19,12699336,12720024,ZNF490,1e-14
blood_mch,19,12965675,12982783,MAST1,1e-14
blood_mch,19,13010516,13024250,GCDH,1e-14
blood_mch,19,13035006,13041442,FARSA,1e-14
blood_mch,19,13108536,13186759,NFIX,1e-14
blood_mch,19,18428632,18433714,LSM4,6.749489855906177e-12
blood_mch,19,18558517,18631845,ELL,1e-14
blood_mch,19,33109003,33149523,ANKRD27,3.584177399318378e-11
blood_mch,19,33881128,34001331,PEPD,2.7028036475584827e-09
blood_mch,19,41725752,41765407,AXL,8.605227641567126e-12
blood_mch,19,41770890,41812050,HNRNPUL1,4.4218128936179824e-08
blood_mch,2,23790221,23926659,KLHL29,4.41298109166155e-11
blood_mch,2,23980698,24148020,ATAD2B,1e-14
blood_mch,2,24188922,24218644,UBXN2A,2.469136006766348e-13
blood_mch,2,24242812,24244603,MFSD2B,5.401288971640383e-09
blood_mch,2,24290671,24298486,SF3B14,2.429465295605837e-09
blood_mch,2,24426534,24540632,ITSN2,1.3376559415689826e-08
blood_mch,2,26267711,26351644,RAB10,1e-14
blood_mch,2,26399214,26409950,FAM59B,8.799327932962342e-11
blood_mch,2,26434022,26445550,HADHA,7.50077777667002e-12
blood_mch,2,43479638,43806918,THADA,1e-14
blood_mch,2,60689522,60771729,BCL11A,1e-14
blood_mch,2,65548507,65650140,SPRED2,8.126910999717296e-08
blood_mch,2,86960637,86998567,RMND5A,1.1700732827080174e-08
blood_mch,2,111534586,111875388,ACOXL,1e-14
blood_mch,2,111886332,111916545,BCL2L11,1e-14
blood_mch,2,160596043,160611167,MARCH7,4.3502401680939324e-10
blood_mch,2,239080571,239102590,ILKAP,1.077804512306102e-12
blood_mch,20,4157136,4167234,SMOX,2.4327428960191355e-11
blood_mch,20,30459439,30528654,TTLL9,2.117750419472486e-12
blood_mch,20,30645680,30678894,HCK,4.4875134719291054e-09
blood_mch,20,30809800,30819912,POFUT1,1.5987211554602254e-14
blood_mch,20,42545777,42693650,TOX2,1.6997514507011147e-10
blood_mch,20,44529912,44539492,PLTP,1.8199918239147903e-09
blood_mch,20,49132208,49196167,PTPN1,9.615919727146151e-09
blood_mch,20,55750204,55840589,BMP7,3.482147903355326e-11
blood_mch,20,55931594,55952526,RAE1,2.857913905529585e-11
blood_mch,20,55971050,55979572,RBM38,1e-14
blood_mch,20,56075890,56097160,CTCFL,1.0170716269186642e-08
blood_mch,20,62226580,62244032,GMEB2,2.9292995251672952e-08
blood_mch,20,62293272,62325833,RTEL1,3.4160224648971393e-09
blood_mch,20,62340115,62364516,ZGPAT,8.745639767937519e-09
blood_mch,21,35091885,35253882,ITSN1,1e-14
blood_mch,21,36167781,36420244,RUNX1,2.051668168689957e-09
blood_mch,21,44958061,45073550,HSF2BP,1.0474954237338352e-12
blood_mch,21,45085829,45109745,RRP1B,3.012716631722867e-09
blood_mch,21,46192515,46220610,UBE2G2,2.962029399533605e-09
blood_mch,21,46274150,46292809,PTTG1IP,3.6214337084672366e-08
blood_mch,22,30186139,30223584,ASCC2,1e-14
blood_mch,22,32871365,32894025,FBXO7,1e-14
blood_mch,22,37387257,37398195,C22orf33,1e-14
blood_mch,22,37453256,37455874,KCTD17,1e-14
blood_mch,22,37462813,37499565,TMPRSS6,1e-14
blood_mch,22,37524619,37534976,IL2RB,7.260858581048525e-14
blood_mch,22,38887057,38901526,DDX17,6.5365874934997245e-09
blood_mch,22,44322922,44341300,PNPLA3,5.873079800267078e-14
blood_mch,22,44355693,44391686,SAMM50,4.593695202004255e-09
blood_mch,22,50848643,50882338,PPP6R2,6.345413627872888e-08
blood_mch,22,50926768,50928026,MIOX,4.224631755533892e-11
blood_mch,22,50943232,50943506,LMF2,1e-14
blood_mch,22,50946965,50961169,NCAPH2,1e-14
blood_mch,22,50987843,50988193,KLHDC7B,1e-14
blood_mch,22,51064068,51065600,ARSA,4.1453696031368276e-10
blood_mch,3,20085199,20192769,KAT2B,1.7010524100413702e-09
blood_mch,3,47895705,48040283,MAP4,9.569411929533088e-11
blood_mch,3,48205625,48229366,CDC25A,9.050792670883824e-09
blood_mch,3,48965078,49019488,ARIH2,1.901145907368118e-12
blood_mch,3,49067904,49089437,QRICH1,9.268084477653816e-08
blood_mch,3,49548226,49567869,DAG1,1e-14
blood_mch,3,49737954,49749976,RNF123,2.8384114836299545e-08
blood_mch,3,49768927,49771943,IP6K1,2.1693802310096544e-10
blood_mch,3,49831058,49834571,CDHR4,7.194245199571014e-14
blood_mch,3,49928614,49940078,MST1R,4.1574949039002724e-08
blood_mch,3,50005916,50112998,RBM6,3.6539682390923645e-10
blood_mch,3,66298721,66427259,SLC25A26,1.0728684607386184e-10
blood_mch,3,66430811,66546950,LRIG1,1.079807465664828e-09
blood_mch,3,128344786,128356279,RPN1,1.8774048982095335e-10
blood_mch,3,132158769,132256930,DNAJC13,1e-14
blood_mch,3,132284931,132374053,ACAD11,5.2929371996413e-10
blood_mch,3,132412266,132441046,NPHP3,1e-14
blood_mch,3,133467517,133494354,TF,1.7319912171132046e-10
blood_mch,3,141206800,141307120,RASA2,1e-14
blood_mch,3,141675853,141816546,TFDP2,9.354497287894505e-09
blood_mch,3,141887746,141938492,GK5,1e-14
blood_mch,3,142078759,142164735,XRN1,1e-14
blood_mch,3,142171595,142294634,ATR,1e-14
blood_mch,3,142443441,142513504,TRPC1,1e-14
blood_mch,3,142541083,142604476,PCOLCE2,1e-14
blood_mch,3,169518455,169527346,LRRC34,3.006006155104046e-08
blood_mch,3,178748480,178778512,ZMAT3,1.920863468285461e-11
blood_mch,3,183874442,183884895,DVL3,1.7240775251892163e-08
blood_mch,3,195591056,195620808,TNK2,1e-14
blood_mch,3,195926387,195936702,ZDHHC19,2.9898240327952414e-08
blood_mch,4,15481585,15593169,CC2D2A,1e-14
blood_mch,4,15608551,15655721,FBXL5,9.115713739404895e-10
blood_mch,4,15688604,15690233,FAM200B,1e-14
blood_mch,4,15709192,15733030,BST1,1.4106205092900836e-10
blood_mch,4,39064162,39119299,KLHL5,4.6450148172283434e-09
blood_mch,4,55524252,55602451,KIT,1e-14
blood_mch,4,69342169,69349059,TMPRSS11E,3.177070828641604e-10
blood_mch,4,87753862,87770252,SLC10A6,1e-14
blood_mch,4,87873164,88046938,AFF1,1e-14
blood_mch,4,122757869,122791031,BBS7,7.968559145865584e-11
blood_mch,4,122800987,122870537,TRPC3,1e-14
blood_mch,4,144507710,144619314,FREM3,4.7709328709899523e-08
blood_mch,4,145041577,145057120,GYPA,1e-14
blood_mch,5,1053038,1103376,SLC12A7,7.05004277179455e-10
blood_mch,5,1257621,1294166,TERT,1e-14
blood_mch,5,1318491,1338078,CLPTM1L,1.0789116822174094e-08
blood_mch,5,67526221,67575344,PIK3R1,2.009503674571533e-14
blood_mch,5,88027278,88112542,MEF2C,1.754152378907747e-14
blood_mch,5,154136891,154188512,LARP1,9.839140613365771e-11
blood_mch,5,154203082,154214232,C5orf4,1.1497802709925507e-11
blood_mch,5,154275786,154312551,GEMIN5,1e-14
blood_mch,5,154320820,154346296,MRPL22,5.7328710667547975e-09
blood_mch,5,154394812,154396505,KIF4B,1e-14
blood_mch,6,15246896,15516633,JARID2,3.3013645150958837e-09
blood_mch,6,16240053,16289452,GMPR,1e-14
blood_mch,6,16306751,16327615,ATXN1,1e-14
blood_mch,6,24808548,24873726,FAM65B,1e-14
blood_mch,6,25293399,25619463,LRRC16A,1e-14
blood_mch,6,25655059,25684405,SCGN,1e-14
blood_mch,6,25812069,25826119,SLC17A1,1e-14
blood_mch,6,25850845,25864898,SLC17A3,1e-14
blood_mch,6,25974204,25983010,TRIM38,1e-14
blood_mch,6,26091179,26094130,HFE,1e-14
blood_mch,6,26367218,26374549,BTN3A2,1e-14
blood_mch,6,26388405,26392629,BTN2A2,1e-14
blood_mch,6,26462356,26474742,BTN2A1,1e-14
blood_mch,6,26501897,26509382,BTN1A1,1e-14
blood_mch,6,27420048,27440004,ZNF184,1.1266326538361682e-08
blood_mch,6,27879200,27879982,OR2B2,1e-14
blood_mch,6,27925367,27925827,OR2B6,1e-14
blood_mch,6,28094432,28097193,ZSCAN16,1e-14
blood_mch,6,28117105,28121278,ZNF192,1e-14
blood_mch,6,28195521,28198755,ZNF193,1e-14
blood_mch,6,28213918,28217797,ZKSCAN4,1e-14
blood_mch,6,28254862,28268824,PGBD1,1e-14
blood_mch,6,28327371,28333396,ZKSCAN3,4.078959392472825e-13
blood_mch,6,28402260,28403603,ZSCAN23,1e-14
blood_mch,6,28478555,28483292,GPX6,1e-14
blood_mch,6,28543089,28546952,SCAND3,6.372369298901502e-11
blood_mch,6,28965639,28969148,ZNF311,5.423175242214029e-10
blood_mch,6,29141743,29142347,OR2J2,1e-14
blood_mch,6,29323076,29323838,OR5V1,1e-14
blood_mch,6,29364643,29364835,OR12D2,1e-14
blood_mch,6,29625001,29635928,MOG,1e-14
blood_mch,6,29640951,29644502,ZFP57,1e-14
blood_mch,6,29691582,29693969,HLA-F,1e-14
blood_mch,6,29795636,29796327,HLA-G,1e-14
blood_mch,6,29910663,29912968,HLA-A,9.681144774731365e-14
blood_mch,6,30030057,30030135,ZNRD1,1e-14
blood_mch,6,30039418,30041559,RNF39,2.477906768660887e-12
blood_mch,6,30071330,30080274,TRIM31,1e-14
blood_mch,6,30105154,30115542,TRIM40,7.392042533638232e-11
blood_mch,6,30121605,30128222,TRIM10,2.5348612098241574e-12
blood_mch,6,30131503,30139699,TRIM15,1e-14
blood_mch,6,30154049,30166266,TRIM26,1e-14
blood_mch,6,30516353,30519258,GNL1,1e-14
blood_mch,6,30526845,30530245,PRR3,1e-14
blood_mch,6,30540890,30553871,ABCF1,1e-14
blood_mch,6,30599702,30601067,ATAT1,9.547918011776346e-14
blood_mch,6,30646724,30651587,KIAA1949,1e-14
blood_mch,6,30669430,30682007,MDC1,5.184164209026676e-11
blood_mch,6,30855907,30865279,DDR1,1e-14
blood_mch,6,30878523,30881103,GTF2H4,1.8501207232901606e-09
blood_mch,6,30882277,30893941,VARS2,2.929974818322023e-08
blood_mch,6,30912481,30920086,DPCR1,1e-14
blood_mch,6,30953105,30955929,MUC21,1e-14
blood_mch,6,31084048,31087908,CDSN,3.8258893719778087e-08
blood_mch,6,31098832,31107648,PSORS1C1,1.2477352484552284e-11
blood_mch,6,31110391,31125257,CCHCR1,1.6056079799042775e-09
blood_mch,6,31132649,31138107,POU5F1,6.630179438804619e-08
blood_mch,6,31237257,31238716,HLA-C,1e-14
blood_mch,6,31469468,31477681,MICB,1.1218995732420467e-09
blood_mch,6,31496915,31497706,MCCD1,1e-14
blood_mch,6,31498497,31507834,DDX39B,1e-14
blood_mch,6,31515799,31525448,NFKBIL1,1e-14
blood_mch,6,31540556,31540784,LTA,2.651295405442511e-09
blood_mch,6,31583224,31583931,AIF1,2.976017987599277e-09
blood_mch,6,31607111,31618761,BAG6,1e-14
blood_mch,6,31674944,31678073,LY6G6F,1e-14
blood_mch,6,31767667,31773975,LSM2,2.2788437803455963e-12
blood_mch,6,31834197,31844684,SLC44A4,1e-14
blood_mch,6,31850332,31864674,EHMT2,1e-14
blood_mch,6,31868765,31912523,ZBTB12,1e-14
blood_mch,6,31915144,31918903,CFB,9.958700530887655e-14
blood_mch,6,31920687,31925848,RDBP,1e-14
blood_mch,6,31928148,31937037,SKIV2L,1e-14
blood_mch,6,31937762,31939345,DOM3Z,2.2870594307278225e-14
blood_mch,6,32085278,32093922,ATF6B,1e-14
blood_mch,6,32121659,32130329,PPT2,1e-14
