Trait,CHR,pStart,pEnd,Gene,pval_fastKAST,pval_skat
blood_mch,22,37462813,37499565,TMPRSS6,1e-14,6.71005676068083e-62
blood_mch,22,50926768,50928026,MIOX,4.224631755533892e-11,7.1913735572048e-14
blood_mch,3,132158769,132256930,DNAJC13,1e-14,7.71739587316835e-12
blood_mch,3,141206800,141307120,RASA2,1e-14,3.31267543692916e-10
blood_mch,3,141887746,141938492,GK5,1e-14,6.96761656352252e-13
blood_mch,3,142078759,142164735,XRN1,1e-14,2.48265123102749e-20
blood_mch,3,142171595,142294634,ATR,1e-14,2.07556768506748e-13
blood_mch,3,142443441,142513504,TRPC1,1e-14,8.85019632693531e-12
blood_mch,3,142541083,142604476,PCOLCE2,1e-14,9.65949509733612e-13
blood_mch,3,195591056,195620808,TNK2,1e-14,9.74856343121105e-19
blood_mch,3,195926387,195936702,ZDHHC19,2.9898240327952414e-08,2.1859310903826503e-09
blood_mch,4,55524252,55602451,KIT,1e-14,2.22778391412626e-18
blood_mch,4,69342169,69349059,TMPRSS11E,3.177070828641604e-10,2.09892678869171e-11
blood_mch,4,87873164,88046938,AFF1,1e-14,2.20892009050913e-11
blood_mch,5,88027278,88112542,MEF2C,1.754152378907747e-14,3.75832819575096e-11
blood_mch,5,154136891,154188512,LARP1,9.839140613365771e-11,6.78305763270473e-10
blood_mch,5,154320820,154346296,MRPL22,5.7328710667547975e-09,1.42575128747896e-09
blood_mch,6,15246896,15516633,JARID2,3.3013645150958837e-09,3.34940059272031e-09
blood_mch,6,16240053,16289452,GMPR,1e-14,5.974121203368191e-25
blood_mch,6,24808548,24873726,FAM65B,1e-14,1.0604223035627302e-31
blood_mch,6,25293399,25619463,LRRC16A,1e-14,1.08840717092642e-69
blood_mch,6,25655059,25684405,SCGN,1e-14,1.3286855119726e-35
blood_mch,6,25812069,25826119,SLC17A1,1e-14,1.67786707698987e-30
blood_mch,6,25850845,25864898,SLC17A3,1e-14,4.5479140320735095e-160
blood_mch,6,25974204,25983010,TRIM38,1e-14,7.80295815710159e-26
blood_mch,6,26091179,26094130,HFE,1e-14,1.3379272114047802e-15
blood_mch,6,26367218,26374549,BTN3A2,1e-14,2.26353482815955e-37
blood_mch,6,26388405,26392629,BTN2A2,1e-14,1.80352083062497e-09
blood_mch,6,26462356,26474742,BTN2A1,1e-14,9.370075435914279e-11
blood_mch,6,26501897,26509382,BTN1A1,1e-14,1.25565869704518e-16
blood_mch,6,27879200,27879982,OR2B2,1e-14,9.93060517929229e-13
blood_mch,6,27925367,27925827,OR2B6,1e-14,7.92173726615886e-09
blood_mch,6,28117105,28121278,ZNF192,1e-14,2.37639467370355e-13
blood_mch,6,28213918,28217797,ZKSCAN4,1e-14,2.89597643532705e-14
blood_mch,6,28254862,28268824,PGBD1,1e-14,3.92910280977432e-08
blood_mch,6,28327371,28333396,ZKSCAN3,4.078959392472825e-13,2.87032326795611e-08
blood_mch,6,28478555,28483292,GPX6,1e-14,2.44075143065011e-11
blood_mch,6,28543089,28546952,SCAND3,6.372369298901502e-11,4.03647420793295e-16
blood_mch,6,29141743,29142347,OR2J2,1e-14,1.38111187114802e-60
blood_mch,6,29323076,29323838,OR5V1,1e-14,6.70252442212908e-30
blood_mch,6,29364643,29364835,OR12D2,1e-14,2.89096471130806e-60
blood_mch,6,29640951,29644502,ZFP57,1e-14,2.3083678020225803e-09
blood_mch,6,30131503,30139699,TRIM15,1e-14,3.30770621411396e-11
blood_mch,6,30154049,30166266,TRIM26,1e-14,1.44929320858504e-12
blood_mch,6,30516353,30519258,GNL1,1e-14,4.64935707494839e-49
blood_mch,6,30540890,30553871,ABCF1,1e-14,1.51382491856776e-58
blood_mch,6,30953105,30955929,MUC21,1e-14,5.9465640064059805e-09
blood_mch,6,31237257,31238716,HLA-C,1e-14,3.30754794147606e-14
blood_mch,6,31496915,31497706,MCCD1,1e-14,2.19071319253408e-12
blood_mch,6,31498497,31507834,DDX39B,1e-14,4.53728269810746e-08
blood_mch,6,31674944,31678073,LY6G6F,1e-14,8.896534568804391e-17
blood_mch,6,31767667,31773975,LSM2,2.2788437803455963e-12,3.65857019898855e-10
blood_mch,6,31850332,31864674,EHMT2,1e-14,9.24531106114834e-20
blood_mch,6,31868765,31912523,ZBTB12,1e-14,4.72405689106812e-24
blood_mch,6,31915144,31918903,CFB,9.958700530887655e-14,2.88739403503991e-10
blood_mch,6,31920687,31925848,RDBP,1e-14,2.08948159212968e-12
blood_mch,6,31928148,31937037,SKIV2L,1e-14,2.1370320891950802e-17
blood_mch,6,31937762,31939345,DOM3Z,2.2870594307278225e-14,9.05348204287799e-16
blood_mch,6,32085278,32093922,ATF6B,1e-14,2.7221406865245897e-18
blood_mch,6,32121659,32130329,PPT2,1e-14,2.96588519956478e-18
blood_mch,6,32149883,32151934,AGER,1e-14,2.2124906610395897e-18
blood_mch,6,32163274,32191457,NOTCH4,2.132989451730793e-09,2.72786800743821e-14
blood_mch,6,109323519,109404198,SESN1,1e-14,5.51606729847324e-13
blood_mch,6,109727046,109760259,PPIL6,1e-14,4.47887754393699e-23
blood_mch,6,109767929,109775366,MICAL1,1e-14,1.60835091911338e-08
blood_mch,6,109788801,109802651,ZBTB24,4.703459843824476e-12,4.01727742110732e-12
blood_mch,6,109814941,109964827,AKD1,1e-14,5.46243769336273e-16
blood_mch,6,110014882,110126393,FIG4,1e-14,4.639911657910631e-15
blood_mch,6,135239758,135254292,ALDH8A1,1e-14,2.78397627877293e-78
blood_mch,6,135296684,135371329,HBS1L,1e-14,8.011147608269921e-145
blood_mch,6,135506442,135539103,MYB,1e-14,2.37776196941373e-41
blood_mch,6,135623584,135796882,AHI1,1e-14,7.90304674489594e-35
blood_mch,6,136191942,136500778,PDE7B,1e-14,1.79223932379942e-20
blood_mch,7,5231156,5267238,WIPI2,1e-14,1.44208499550632e-09
blood_mch,7,50531713,50610918,DDC,1e-14,2.64419552799337e-10
blood_mch,7,50660787,50796106,GRB10,4.528211139387395e-11,2.42529340521404e-08
blood_mch,7,98637988,98731137,SMURF1,1e-14,1.49103131170918e-16
blood_mch,7,98775453,98804967,KPNA7,1.001800098432426e-08,8.11799281070088e-11
blood_mch,7,100137085,100154079,AGFG2,1e-14,1.11118918411746e-13
blood_mch,7,100186424,100198386,FBXO24,1e-14,4.75816751555058e-08
blood_mch,7,100218631,100227188,TFR2,1e-14,3.4815421492302e-51
blood_mch,7,100406207,100423845,EPHB4,1e-14,3.56614824952197e-20
blood_mch,7,100488407,100490797,ACHE,3.622729005670066e-09,5.50374172902934e-08
blood_mch,7,100675512,100695140,MUC17,1.4970580330952998e-11,4.14158521891032e-09
blood_mch,8,145220414,145276643,HEATR7A,1.5421421251105016e-08,5.21350200145766e-08
blood_monocyte,1,28204134,28206250,C1orf38,6.16251605300988e-10,3.1207333515848697e-12
blood_monocyte,1,92150058,92309464,TGFBR3,1e-14,1.36146928713673e-66
blood_monocyte,1,92546425,92598705,BTBD8,1e-14,5.13127928236744e-118
blood_monocyte,1,92766438,92841991,RPAP2,1e-14,1.98843180272912e-30
blood_monocyte,1,92981330,93257374,EVI5,1e-14,6.56906944639768e-85
blood_monocyte,1,150230795,150236107,CA14,3.3048400682744734e-08,6.17814124304061e-08
blood_monocyte,1,150337289,150440279,RPRD2,1e-14,1.46343108678313e-09
blood_monocyte,1,150526044,150532376,ADAMTSL4,1.404210081545898e-12,1.08385124092872e-09
blood_monocyte,1,150550924,150551327,MCL1,5.6598059572365855e-12,2.48169881471805e-11
blood_monocyte,1,150784620,150808889,ARNT,1e-14,1.77296732559966e-23
blood_monocyte,1,150902203,150923099,SETDB1,1e-14,1.45920397743902e-16
blood_monocyte,1,150938877,150940358,CERS2,1e-14,2.3415240905314504e-15
blood_monocyte,1,150984035,151006691,PRUNE,2.9976021664879227e-14,1.7097445232459e-08
blood_monocyte,1,151185952,151217738,PIP5K1A,1e-14,1.32053688340233e-08
blood_monocyte,10,98986189,99046404,ARHGAP19,1e-14,2.3935806544650102e-09
blood_monocyte,10,99262089,99316892,UBTD1,1e-14,3.07164420723242e-10
blood_monocyte,11,122535470,122679481,UBASH3B,1e-14,1.027050492708e-11
blood_monocyte,12,112091244,112111717,BRAP,1.1457501614131615e-12,1.73029213662167e-12
blood_monocyte,12,112869780,112935344,PTPN11,1.844080443902385e-13,5.27951583266404e-12
blood_monocyte,13,28580587,28671088,FLT3,1e-14,2.61778393702858e-149
blood_monocyte,13,28727696,28858082,PAN3,1e-14,1.62532172165522e-36
blood_monocyte,14,25282393,25438196,STXBP6,1.1196599203344704e-12,8.00450553617438e-08
blood_monocyte,14,103870716,103967504,MARK3,1e-14,3.71161879416638e-14
blood_monocyte,14,104027557,104028270,BAG5,1e-14,1.86307511256071e-18
blood_monocyte,15,64410816,64428860,SNX1,1e-14,3.3150578713021106e-15
blood_monocyte,15,64466574,64580583,CSNK1G1,1e-14,4.29628932904719e-28
blood_monocyte,15,64714519,64746280,TRIP4,1e-14,2.53670584709157e-18
blood_monocyte,16,85940010,85948098,IRF8,1e-14,6.22988350750596e-70
blood_monocyte,17,56348106,56356502,MPO,1e-14,2.40236678107671e-34
blood_monocyte,17,56383744,56405046,BZRAP1,1e-14,1.89906062256645e-09
blood_monocyte,17,56620167,56621286,C17orf47,7.819730196700903e-09,1.25285881353515e-10
blood_monocyte,17,57082122,57181441,TRIM37,1e-14,3.96569263695128e-21
blood_monocyte,17,57698208,57752869,CLTC,2.5002222514558525e-13,1.48021010034827e-08
blood_monocyte,17,57839539,57916165,VMP1,1.2401191185063e-13,7.98613302819168e-09
blood_monocyte,17,57940703,57965731,TUBD1,1e-14,4.18080763102617e-23
blood_monocyte,17,57973920,58022484,RPS6KB1,1e-14,4.7189420369977096e-12
blood_monocyte,17,80904844,81009636,B3GNTL1,1.1155520951433573e-12,1.4374072641252e-13
blood_monocyte,18,60804334,60978979,BCL2,1e-14,2.10685549750571e-34
blood_monocyte,19,18428632,18433714,LSM4,3.180589125406641e-11,2.73610898166012e-10
blood_monocyte,19,44272354,44281898,KCNN4,1e-14,1.08983377344966e-10
blood_monocyte,19,44418077,44423981,ZNF45,1e-14,5.3931296753938e-19
blood_monocyte,19,45756763,45799910,MARK4,1e-14,3.4290386876346004e-16
blood_monocyte,2,111534586,111875388,ACOXL,1e-14,3.84635562728249e-27
blood_monocyte,2,182325493,182395345,ITGA4,1e-14,7.2289267353714195e-56
blood_monocyte,2,182408184,182519785,CERKL,1e-14,9.46219951203659e-22
blood_monocyte,2,182756900,182789383,SSFA2,7.332976725837882e-08,1.40168178326671e-10
blood_monocyte,2,225633209,225898467,DOCK10,1e-14,1.78105510453709e-09
blood_monocyte,3,42753966,42799765,CCDC13,1e-14,1.5405054661766e-52
blood_monocyte,3,43021383,43096875,FAM198A,1e-14,6.08729839342798e-13
blood_monocyte,3,43409582,43627297,ANO10,4.747069404231752e-11,5.36618548111779e-12
blood_monocyte,3,45969795,46003735,FYCO1,2.684451216872219e-09,5.04858224115168e-08
blood_monocyte,3,127872506,128122580,EEFSEC,6.021853682369738e-09,1.81136673997656e-09
blood_monocyte,3,128344786,128356279,RPN1,1e-14,1.34555598348852e-62
blood_monocyte,3,128690948,128710019,KIAA1257,2.5990432028777377e-11,7.30100477418264e-12
blood_monocyte,3,129381533,129546664,TMCC1,2.1223245383339414e-11,1.3876649376544498e-11
blood_monocyte,4,6925237,7023479,TBC1D14,1e-14,8.97725408127481e-12
blood_monocyte,5,131819800,131824486,IRF1,4.5529358061457964e-10,6.5833418716465506e-09
blood_monocyte,5,149384610,149431223,HMGXB3,3.6541925041433394e-08,7.36611332386406e-10
blood_monocyte,5,149498151,149514958,PDGFRB,1e-14,9.484106175795572e-17
blood_monocyte,6,26501897,26509382,BTN1A1,1e-14,3.4678568116105e-14
blood_monocyte,6,30953105,30955929,MUC21,1.1857181902996672e-13,1.3265386258942498e-11
blood_monocyte,6,31110391,31125257,CCHCR1,1e-14,1.67453406418476e-09
blood_monocyte,6,31469468,31477681,MICB,1e-14,1.47878529907729e-13
blood_monocyte,6,31496915,31497706,MCCD1,1e-14,1.12771176303767e-11
blood_monocyte,6,31498497,31507834,DDX39B,1e-14,3.7051905180965497e-13
blood_monocyte,6,31513402,31514247,ATP6V1G2,1e-14,1.80380529859867e-89
blood_monocyte,6,31591808,31605199,PRRC2A,1e-14,3.83354487747337e-23
blood_monocyte,6,31674944,31678073,LY6G6F,1e-14,4.3281938375797e-16
blood_monocyte,6,31708910,31728267,MSH5,4.447553436648377e-13,8.325791923977921e-31
blood_monocyte,6,31731881,31732207,C6orf26,1e-14,4.657922968333661e-25
blood_monocyte,6,31736065,31741659,C6orf27,1e-14,7.19534612973853e-14
blood_monocyte,6,31834197,31844684,SLC44A4,1e-14,2.18058658657279e-12
blood_monocyte,6,31868765,31912523,ZBTB12,4.8918988193591424e-08,5.24279889773162e-18
blood_monocyte,6,31915144,31918903,CFB,1.2501574220280531e-09,3.30037203309938e-12
blood_monocyte,6,31928148,31937037,SKIV2L,1.6036505456895608e-11,2.50504373859863e-17
blood_monocyte,6,32121659,32130329,PPT2,1e-14,3.67138483119452e-15
blood_monocyte,6,32163274,32191457,NOTCH4,1e-14,1.41189852006698e-18
blood_monocyte,6,32261507,32339076,C6orf10,1e-14,2.57050262590711e-19
blood_monocyte,6,32605326,32609813,HLA-DQA1,1e-14,1.59446383925868e-11
blood_monocyte,7,50531713,50610918,DDC,1.5075666270902843e-09,1.11454814793979e-18
blood_monocyte,7,50660787,50796106,GRB10,1e-14,1.78819417564597e-08
blood_monocyte,8,48174091,48647273,KIAA0146,5.545564008002657e-13,2.6411350633886297e-13
blood_monocyte,9,33818501,33903966,UBE2R2,6.643037231413017e-10,7.6051877038493e-09
blood_monocyte,9,91641870,91775958,SHC3,9.206270412676076e-09,3.0950085065894403e-09
blood_monocyte,9,113645842,113707469,LPAR1,2.8643754035329045e-14,2.72742378788525e-24
blood_monocyte,9,114128759,114216674,KIAA0368,1e-14,1.14892317053783e-58
blood_monocyte,9,114290716,114359624,ZNF483,1e-14,5.53127221587606e-33
blood_monocyte,9,114453006,114539861,C9orf84,1e-14,3.20060336324429e-23
blood_mpv,1,10106684,10237187,UBE4B,2.336242310718717e-12,2.0586085977282e-12
blood_mpv,1,10308958,10429705,KIF1B,1e-14,3.4354727641755603e-19
blood_mpv,1,11850750,11863057,MTHFR,2.9236503662488644e-08,1.18554415173833e-08
blood_mpv,1,25877492,25892880,LDLRAP1,1e-14,4.08782743818687e-30
blood_mpv,1,45795084,45808863,MUTYH,1e-14,5.9333063890373e-11
blood_mpv,1,111730901,111742841,DENND2D,1e-14,1.4170998769368e-11
blood_mpv,1,156875482,156883546,PEAR1,1e-14,1.0382017289317201e-52
blood_mpv,1,156890672,156902222,LRRC71,1e-14,7.719135028350509e-11
blood_mpv,1,156907115,157011560,ARHGEF11,1e-14,4.54517095052888e-18
blood_mpv,1,171486912,171557600,PRRC2C,1e-14,2.79078193321923e-23
blood_mpv,1,171605539,171620782,MYOC,1e-14,1.1382351147802802e-09
blood_mpv,1,171687336,171704957,VAMP4,1e-14,6.01491544330759e-35
blood_mpv,1,171813874,172355841,DNM3,1e-14,1.93740907057989e-34
blood_mpv,1,172505731,172577441,C1orf9,5.451417095514444e-12,7.485213376233952e-14
blood_mpv,1,198613504,198714895,PTPRC,4.6195691716377496e-10,5.16594435822816e-09
blood_mpv,1,204914693,204978533,NFASC,1e-14,8.67018166319647e-09
blood_mpv,1,205035727,205037676,CNTN2,1e-14,2.15615901754412e-13
blood_mpv,1,205130413,205180474,DSTYK,1e-14,5.278922252128809e-26
blood_mpv,1,205199591,205227627,TMCC2,1e-14,3.35217344415231e-56
blood_mpv,1,205273100,205287324,NUAK2,1e-14,4.91641582739316e-11
blood_mpv,1,247712613,247736230,C1orf150,1e-14,9.10287454275613e-71
blood_mpv,1,248021765,248039713,TRIM58,1e-14,3.55482695663436e-128
blood_mpv,10,11799332,11804525,ECHDC3,1e-14,6.38358789093324e-19
blood_mpv,10,63958638,63985100,RTKN2,1.4947166837586676e-09,1.25389080160535e-08
blood_mpv,10,64154935,64408208,ZNF365,1e-14,3.9823839348803e-18
blood_mpv,10,64927823,65220711,JMJD1C,1e-14,3.2528709319456595e-135
blood_mpv,10,65315397,65378695,REEP3,1e-14,8.79006770656673e-27
blood_mpv,10,101544088,101611294,ABCC2,5.014592474594792e-08,1.10951334166851e-12
blood_mpv,10,114137667,114186224,ACSL5,1e-14,1.08419856897313e-09
blood_mpv,11,5619338,5664684,TRIM6,1e-14,5.78295811869047e-13
blood_mpv,11,5718256,5730343,TRIM22,3.4003763804690834e-08,2.0769320105713299e-13
blood_mpv,11,10601396,10715124,MRVI1,1e-14,4.60506009895491e-10
blood_mpv,11,58315733,58339285,LPXN,1.0694345409234528e-10,2.04866221498067e-10
blood_mpv,11,61599991,61627811,FADS2,1e-14,1.25115689317835e-08
blood_mpv,11,65384129,65404018,PCNXL3,1e-14,3.65570010929517e-08
blood_mpv,11,113937206,114120774,ZBTB16,1e-14,1.44231655023757e-45
blood_mpv,11,117076972,117100029,PCSK7,5.8076876641166556e-12,6.10683003609745e-14
blood_mpv,12,6059719,6225931,VWF,1e-14,4.49738870559008e-31
blood_mpv,12,6320386,6345199,CD9,1e-14,2.1549940116559495e-26
blood_mpv,12,49308284,49314994,CCDC65,5.275030412477122e-10,1.2891229130671902e-09
blood_mpv,12,51687991,51715714,BIN2,1e-14,1.69079338069221e-11
blood_mpv,12,51723499,51740350,CELA1,1e-14,1.71130065060637e-26
blood_mpv,12,54796593,54811708,ITGA5,4.31255355870519e-08,5.9155589979840615e-09
blood_mpv,12,54892220,54934521,NCKAP1L,1e-14,1.0420079014843798e-30
blood_mpv,12,54946483,54967739,PDE1B,3.6896331545577246e-09,2.5798266240298603e-10
blood_mpv,12,56351346,56359642,PMEL,1.9442880527797968e-08,4.60688015513355e-08
blood_mpv,12,56865338,56881614,GLS2,1.5432100042289676e-14,2.06215289119962e-09
blood_mpv,12,56995856,57023284,BAZ2A,1e-14,1.10331737364781e-21
blood_mpv,12,57063906,57078296,PTGES3,1e-14,4.26183067197217e-14
blood_mpv,12,57422934,57437119,MYO1A,5.245248679841552e-12,1.87129109095532e-10
blood_mpv,12,57525756,57595984,LRP1,2.351783090492887e-08,1.29364794011512e-10
blood_mpv,12,64239261,64521724,SRGAP1,3.480105092990016e-12,4.81486019943134e-08
blood_mpv,12,64607264,64612871,C12orf66,1e-14,1.1723954038843898e-11
blood_mpv,12,65010323,65088155,RASSF3,1e-14,2.34715601082083e-68
blood_mpv,12,65219960,65269030,TBC1D30,1e-14,2.89227357209971e-18
blood_mpv,12,109057112,109093588,CORO1C,1e-14,2.01464655027182e-11
blood_mpv,12,120032805,120076735,TMEM233,2.2855310533032025e-08,3.62144619703908e-09
blood_mpv,12,121208238,121334133,SPPL3,8.570921750106208e-14,1.21209607656189e-10
blood_mpv,12,121648586,121670276,P2RX4,1e-14,1.06745350374532e-12
blood_mpv,12,121680460,121710981,CAMKK2,1e-14,1.78476276036748e-31
blood_mpv,12,121871006,122014770,KDM2B,1e-14,2.7213943604451893e-40
blood_mpv,12,122158662,122204953,TMEM120B,1e-14,1.11620249239881e-19
blood_mpv,12,122217507,122226872,RHOF,1e-14,1.2872261764001499e-28
blood_mpv,12,122247114,122266840,SETD1B,1e-14,0.0
blood_mpv,12,122361711,122404946,WDR66,1e-14,2.17747271656802e-89
blood_mpv,12,122462356,122494845,BCL7A,1e-14,9.94324954598286e-58
blood_mpv,12,122717710,122748099,VPS33A,1e-14,1.79624738999926e-15
blood_mpv,12,122760524,122864920,CLIP1,1e-14,5.62055263142407e-23
blood_mpv,12,123023566,123110585,KNTC1,1e-14,8.344218736622161e-09
blood_mpv,12,123262476,123304922,CCDC62,3.0643454440593127e-10,8.141962029914859e-11
blood_mpv,12,123322415,123345509,HIP1R,1e-14,2.59527390105928e-50
blood_mpv,12,123651738,123705962,MPHOSPH9,6.941250241254693e-09,5.224082340938681e-10
blood_mpv,12,123748216,123753294,CDK2AP1,2.5801583092288643e-13,3.1686441986154404e-14
blood_mpv,12,123787811,123828792,SBNO1,2.401636445270583e-09,3.5553640739935797e-16
blood_mpv,12,123902892,123919969,RILPL2,1e-14,2.91549864557268e-31
blood_mpv,12,124156487,124186348,TCTN2,1e-14,1.49694901355971e-29
blood_mpv,12,124198360,124242557,ATP6V0A2,1e-14,2.67102340275807e-21
blood_mpv,12,124250882,124419062,DNAH10,1e-14,2.79380136040139e-25
blood_mpv,13,33226425,33339178,PDS5B,3.0948577034450864e-12,6.41231911543336e-09
blood_mpv,13,47127813,47324173,LRCH1,1e-14,2.87356659637217e-12
blood_mpv,13,113980587,114017189,GRTP1,1e-14,4.43151524119245e-10
blood_mpv,14,55409823,55493408,WDHD1,1e-14,6.852743044494949e-18
blood_mpv,14,55615580,55648263,DLGAP5,1e-14,8.06925788177336e-23
blood_mpv,14,55817708,55818706,FBXO34,1e-14,5.88011841600657e-69
blood_mpv,14,55837043,55874669,ATG14,1e-14,1.3851685984865e-55
blood_mpv,14,65383689,65555251,CHURC1,1e-14,7.73162949219142e-08
blood_mpv,14,69539440,69613765,DCAF5,1e-14,2.3771120469478e-17
blood_mpv,14,69676591,69704434,EXD2,1e-14,4.657000662605e-62
blood_mpv,14,103400350,103518149,CDC42BPB,1e-14,1.2254745066006e-19
blood_mpv,15,57212834,57573483,TCF12,1e-14,8.15457043448798e-16
blood_mpv,15,64410816,64428860,SNX1,2.773337115513641e-13,1.31414470416757e-08
blood_mpv,15,91449015,91461545,MAN2A2,1e-14,8.30948790348165e-10
blood_mpv,15,91511749,91533068,PRC1,6.10750339191668e-11,6.32750432023849e-10
blood_mpv,16,88945936,89038880,CBFA2T3,1e-14,4.41872192169512e-08
blood_mpv,16,89167138,89219366,ACSF3,8.075273782992554e-11,4.06594234721413e-10
blood_mpv,16,89337526,89382880,ANKRD11,7.913819710658743e-09,2.47724937560933e-10
blood_mpv,17,1538669,1547925,SCARF1,3.406892945534423e-08,1.6715237143929002e-10
blood_mpv,17,4875628,4888017,CAMTA2,1e-14,7.23028492556379e-10
blood_mpv,17,4908721,4918458,KIF1C,1e-14,1.8873353665391095e-11
blood_mpv,17,26909042,26911204,SPAG5,1.20570220474292e-13,8.03225613178572e-14
blood_mpv,17,27032367,27035482,PROCA1,3.441691376337985e-14,1.53707153671689e-08
blood_mpv,17,27208326,27222988,FLOT2,1e-14,5.35779789478922e-09
blood_mpv,17,27421490,27478325,MYO18A,1e-14,5.3571237132466505e-67
blood_mpv,17,27794730,27857698,TAOK1,1e-14,3.00871209751093e-51
blood_mpv,17,27957939,28229418,SSH2,1e-14,8.352128551451959e-55
blood_mpv,17,28296327,28431640,EFCAB5,1e-14,3.19471081306922e-26
blood_mpv,17,28492033,28512405,NSRP1,1e-14,2.28283456109456e-29
blood_mpv,17,33875688,33884804,SLFN14,1e-14,5.02922522336855e-44
blood_mpv,17,33921338,34046034,AP2B1,1e-14,1.3888604868828e-19
blood_mpv,17,42432774,42439469,FAM171A2,1e-14,1.1720087412326e-14
blood_mpv,17,42475557,42573761,GPATCH8,1e-14,8.91422500134572e-12
blood_mpv,17,43516738,43555253,PLEKHM1,1e-14,8.59674412920743e-23
blood_mpv,17,45333743,45385012,ITGB3,1.5099033134902132e-14,5.84125638299048e-19
blood_mpv,17,45412629,45505768,C17orf57,1e-14,3.0164804751943303e-15
blood_mpv,17,55337984,55752389,MSI2,1.3345796245900488e-08,1.12479671590045e-09
blood_mpv,18,20718352,20834307,CABLES1,1e-14,1.03823053599903e-14
blood_mpv,18,60804334,60978979,BCL2,1e-14,1.54822499908492e-20
blood_mpv,18,67080604,67507347,DOK6,1e-14,2.02998009340097e-15
blood_mpv,18,67531642,67605124,CD226,1e-14,8.17519423458338e-49
blood_mpv,18,67687860,67865478,RTTN,1e-14,8.98503546290375e-32
blood_mpv,18,77161063,77287075,NFATC1,1e-14,5.803957330700382e-19
blood_mpv,19,1043638,1065018,ABCA7,1e-14,2.30298615733204e-08
blood_mpv,19,6775871,6850767,VAV1,1.7231882587509517e-11,6.788430198381951e-23
blood_mpv,19,16183411,16197377,TPM4,1e-14,4.19276792738252e-14
blood_mpv,19,17160720,17180033,HAUS8,1e-14,3.1697294100532e-09
blood_mpv,19,39147510,39210593,ACTN4,1e-14,8.7245755075982e-10
blood_mpv,19,39223402,39229089,CAPN12,1.2523315717771768e-13,6.58053075871466e-14
blood_mpv,19,45121297,45134110,IGSF23,1e-14,8.389309690991851e-15
blood_mpv,19,45351516,45390333,PVRL2,1.5957171140001947e-08,2.5238607598142898e-18
blood_mpv,19,55525818,55549383,GP6,1e-14,6.34889383659422e-17
blood_mpv,19,55559034,55573633,RDH13,1e-14,7.20075133852845e-09
blood_mpv,2,23790221,23926659,KLHL29,1e-14,7.73980718404843e-08
blood_mpv,2,24242812,24244603,MFSD2B,1.488065226595836e-11,3.5121534927384e-09
blood_mpv,2,24290671,24298486,SF3B14,1.501714952389932e-08,4.8244352734983e-08
blood_mpv,2,31459037,31488965,EHD3,1e-14,6.9607607518361e-17
blood_mpv,2,37077037,37189624,STRN,1e-14,3.98717626651805e-10
blood_mpv,2,106477304,106500881,NCK2,1e-14,4.5016651307038205e-09
blood_mpv,2,120799566,120898324,EPB41L5,1e-14,1.29366285478582e-09
blood_mpv,2,121036333,121048712,RALB,1e-14,3.52352714823544e-10
blood_mpv,2,241379144,241403232,GPC1,1e-14,7.464485997714119e-77
blood_mpv,2,241420626,241491659,ANKMY1,1e-14,1.5547574875419598e-56
blood_mpv,20,1516906,1532595,SIRPD,1e-14,4.74228534219634e-08
blood_mpv,20,43605040,43687459,STK4,1e-14,9.336912524971591e-09
blood_mpv,20,44464356,44484979,SNX21,1.1319611914473171e-11,3.69978112020603e-12
blood_mpv,20,44488679,44506418,ZSWIM3,2.3216983890961278e-12,6.14992310326677e-10
blood_mpv,20,57558010,57564695,TH1L,1e-14,3.2574556771310298e-12
blood_mpv,20,57594684,57599402,TUBB1,1e-14,9.16165041412792e-142
blood_mpv,20,57768655,57825431,ZNF831,1e-14,1.66166201302851e-17
blood_mpv,22,43195109,43244928,ARFGAP3,1e-14,3.91898379780296e-13
blood_mpv,22,43447238,43466659,TTLL1,1e-14,8.08695720545044e-13
blood_mpv,22,50181915,50214021,BRD1,1e-14,4.0813171974879506e-09
blood_mpv,3,47895705,48040283,MAP4,8.963830788744075e-10,9.97198034045073e-10
blood_mpv,3,55720760,56467691,ERC2,1e-14,4.65939119159215e-45
blood_mpv,3,56595153,56653427,CCDC66,1e-14,4.40192041828459e-74
blood_mpv,3,56667213,56708788,C3orf63,1e-14,3.70312239906638e-71
blood_mpv,3,56764853,57067209,ARHGEF3,1e-14,7.531081275e-315
blood_mpv,3,57132035,57196384,IL17RD,1.1690648449302898e-13,1.03589098858926e-10
blood_mpv,3,57768616,57882601,SLMAP,3.036731421879324e-09,6.11502636305161e-08
blood_mpv,3,123251872,123296058,PTPLB,8.58202398035246e-14,3.08330533549279e-13
blood_mpv,3,123821359,124222935,KALRN,1e-14,7.73143599138373e-17
blood_mpv,3,124306060,124423729,KALRN,1e-14,1.81438788385522e-125
blood_mpv,4,3137674,3235589,HTT,1e-14,6.44533956509358e-11
blood_mpv,4,6826756,6876458,KIAA0232,1e-14,5.41720236279243e-10
blood_mpv,4,52920623,52943061,SPATA18,5.1193493888490593e-11,8.82566249828538e-12
blood_mpv,4,102713097,102975423,BANK1,1e-14,8.81770486658093e-25
blood_mpv,4,123101170,123277192,KIAA1109,4.598099678787548e-12,2.38101118615588e-14
blood_mpv,5,60241142,60417118,NDUFAF2,1e-14,7.98340088138309e-15
blood_mpv,5,65892594,66462325,MAST4,1e-14,4.90044624879005e-08
